Url,PathIdentifier,PropertyId,Price,Unit,Street,City,State,Postcode,SoldDate,Bed,Bath,Parking,Type
www.realestate.com.au/sold/property-unit-sa-cowandilla-143266044,/sold/property-unit-sa-cowandilla-143266044,143266044,340000,10/238,Sir Donald Bradman Drive,Cowandilla,SA,5033,12-Dec-23,2,1,1,Unit
www.realestate.com.au/sold/property-house-sa-cowandilla-143712164,/sold/property-house-sa-cowandilla-143712164,143712164,815000,17a,Poynton Street,Cowandilla,SA,5033,6-Dec-23,4,2,2,House
www.realestate.com.au/sold/property-house-sa-richmond-143612368,/sold/property-house-sa-richmond-143612368,143612368,725000,9B,Lucas Street,Richmond,SA,5033,4-Dec-23,3,2,2,House
www.realestate.com.au/sold/property-house-sa-marleston-143566100,/sold/property-house-sa-marleston-143566100,143566100,765000,27,Barwell Avenue,Marleston,SA,5033,1-Dec-23,3,2,3,House
www.realestate.com.au/sold/property-house-sa-marleston-143675496,/sold/property-house-sa-marleston-143675496,143675496,826000,15,Ritchie Terrace,Marleston,SA,5033,27-Nov-23,3,2,1,House
www.realestate.com.au/sold/property-house-sa-richmond-143566848,/sold/property-house-sa-richmond-143566848,143566848,898000,16,Shaw Avenue,Richmond,SA,5033,25-Nov-23,3,1,2,House
www.realestate.com.au/sold/property-unit-sa-cowandilla-143571436,/sold/property-unit-sa-cowandilla-143571436,143571436,510000,20-Mar,Turner Street,Cowandilla,SA,5033,23-Nov-23,2,1,1,Unit
www.realestate.com.au/sold/property-unit-sa-marleston-143510760,/sold/property-unit-sa-marleston-143510760,143510760,427000,Jan-40,Argyle Avenue,Marleston,SA,5033,23-Nov-23,2,1,1,Unit
www.realestate.com.au/sold/property-house-sa-hilton-143497720,/sold/property-house-sa-hilton-143497720,143497720,795000,20,Milner Road,Hilton,SA,5033,21-Nov-23,3,1,3,House
www.realestate.com.au/sold/property-house-sa-richmond-143527896,/sold/property-house-sa-richmond-143527896,143527896,1035000,6,Holder Avenue,Richmond,SA,5033,20-Nov-23,3,1,3,House
www.realestate.com.au/sold/property-unit-sa-richmond-143358976,/sold/property-unit-sa-richmond-143358976,143358976,376500,8-Jan,Weaver Avenue,Richmond,SA,5033,17-Nov-23,2,1,1,Unit
www.realestate.com.au/sold/property-house-sa-hilton-143451132,/sold/property-house-sa-hilton-143451132,143451132,1015000,17,Somerset Avenue,Hilton,SA,5033,11-Nov-23,3,1,3,House
www.realestate.com.au/sold/property-house-sa-richmond-143419428,/sold/property-house-sa-richmond-143419428,143419428,955000,5,Lane Street,Richmond,SA,5033,11-Nov-23,3,1,2,House
www.realestate.com.au/sold/property-house-sa-west+richmond-143459524,/sold/property-house-sa-west+richmond-143459524,143459524,750000,13,Leicester Street,West Richmond,SA,5033,6-Nov-23,3,1,2,House
www.realestate.com.au/sold/property-house-sa-richmond-143294752,/sold/property-house-sa-richmond-143294752,143294752,1067500,18,Kitson Avenue,Richmond,SA,5033,4-Nov-23,3,1,1,House
www.realestate.com.au/sold/property-house-sa-marleston-143367516,/sold/property-house-sa-marleston-143367516,143367516,285000,Mar-68,Argyle Avenue,Marleston,SA,5033,4-Nov-23,1,1,1,House
www.realestate.com.au/sold/property-house-sa-marleston-143329576,/sold/property-house-sa-marleston-143329576,143329576,1000000,5,Ritchie Terrace,Marleston,SA,5033,26-Oct-23,4,2,5,House
www.realestate.com.au/sold/property-house-sa-west+richmond-143295224,/sold/property-house-sa-west+richmond-143295224,143295224,900000,11A,Leicester Street,West Richmond,SA,5033,26-Oct-23,4,2,1,House
